,0_0,0_1,0_2,1_1,1_2,2_2,1_0,2_0,2_1
S|1x0|1x1|2x1|2x2|0o1|0o2|1o2|2o0,0.7,0,0,0,0,0,0,0,0
S|0x0|1x0|1x1|2x1|2x2|0o1|0o2|1o2|2o0,0,0,0,0,0,0,0,0,0
S|1x2,0,0,0,0,0,0,0,0,0
S|1x2|0o1,0.2137708710276551,0,0.13036651575044644,0.3457814117846553,0,0.04352913212330395,5.504275013589665e-05,0.020041916099890675,0.08130449637794297
S|1x2|2x0|0o1,0,0,0,0,0,0,0,0,0
S|1x2|2x0|0o1|0o2,0.3756597295365246,0,0,-1,0,-1,-1,0,0.09000000000000002
S|1x2|2x0|2x2|0o1|0o2,0,0,0,0,0,0,0,0,0
S|1x0|1x1|2x0|2o1|2o2,0,0,0,0,0,0,0,0,0
S|1x0|1x1|2x0|0o0|2o1|2o2,0,0.5543247,0.7,0,0.7,0,0,0,0
S|0x2|1x0|1x1|2x0|0o0|2o1|2o2,0,0,0,0,0,0,0,0,0
S|0x2,0,0,0,0,0,0,0,0,0
S|0x2|2o0,0.24038333055719177,0.14700001053934017,0,0.005190839912216811,0.0028208574248561004,0.32109688573745443,0.030889026479394874,0,0.15723548663261377
S|0x2|1x1|2o0,0,0,0,0,0,0,0,0,0
S|0x2|1x1|2o0|2o1,-1,-1,0,0,-1,0.41176470588235253,0.34601101109913357,0,0
S|0x1|0x2|1x1|2o0|2o1,0,0,0,0,0,0,0,0,0
S|0x0|1x1|2x2|0o1|0o2,0,0,0,0,0,0,0,0,0
S|1x1|2x2|0o0|0o2,0,0.000698176140288669,0,0,-1,0,-1,-1,-1
S|0x1|1x1|2x2|0o0|0o2,0,0,0,0,0,0,0,0,0
S|0x1|1x1|2x2|0o0|0o2|1o2,0,0,0,0,0,0,0.0,0.0,0.7
S|0x1|1x0|1x1|2x2|0o0|0o2|1o2,0,0,0,0,0,0,0,0,0
S|0x1|1x0|1x1|2x2|0o0|0o2|1o2|2o1,0,0,0,0,0,0,0,0.0,0
S|0x1|1x0|1x1|2x0|2x2|0o0|0o2|1o2|2o1,0,0,0,0,0,0,0,0,0
S|1x1|2x0|2x2|0o0|0o2,0,0,0,0,0,0,0,0,0
S|0x1|1x1|2x2|0o0|0o2|2o1,0,0,0,0,1.3430796931569052e-18,0,2.053125499714482e-25,0.0,0
S|0x1|1x0|1x1|2x2|0o0|0o2|2o1,0,0,0,0,0,0,0,0,0
